INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=300, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/finetuned2/sv2p_cdna_state_dict_199.pth
INFO:root:Starting SV2P training on Stage 3 for 300 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.32821804, 0.39457338, 154.32800170, 0.00055333
INFO:root:154.45004500, 0.38599158, 154.44983129, 0.00055667
INFO:root:154.42555123, 0.37726888, 154.42534015, 0.00056000
INFO:root:154.38098337, 0.36881498, 154.38077545, 0.00056333
INFO:root:154.48616370, 0.36054990, 154.48596077, 0.00056667
INFO:root:154.43892863, 0.35220999, 154.43872938, 0.00057000
INFO:root:154.35772688, 0.34425431, 154.35752948, 0.00057333
INFO:root:154.50343393, 0.33619390, 154.50323934, 0.00057667
INFO:root:154.33730465, 0.32865783, 154.33711409, 0.00058000
INFO:root:154.39396974, 0.32135159, 154.39378322, 0.00058333
INFO:root:154.51253369, 0.31402932, 154.51234997, 0.00058667
INFO:root:154.31052565, 0.30633477, 154.31034456, 0.00059000
INFO:root:154.43122592, 0.29933956, 154.43104816, 0.00059333
INFO:root:154.47716636, 0.29255956, 154.47699255, 0.00059667
INFO:root:154.42323926, 0.28535605, 154.42306992, 0.00060000
INFO:root:154.37236996, 0.27893414, 154.37220212, 0.00060333
INFO:root:154.44269755, 0.27256333, 154.44253189, 0.00060667
INFO:root:154.23042236, 0.26593675, 154.23025986, 0.00061000
INFO:root:154.52386703, 0.25956961, 154.52370848, 0.00061333
INFO:root:154.54148505, 0.25378803, 154.54133018, 0.00061667
INFO:root:154.42219421, 0.24722402, 154.42204188, 0.00062000
INFO:root:154.47429543, 0.24154661, 154.47414451, 0.00062333
INFO:root:154.23960723, 0.23590454, 154.23945841, 0.00062667
INFO:root:154.75598776, 0.22979552, 154.75584412, 0.00063000
INFO:root:154.71979268, 0.22477205, 154.71965123, 0.00063333
INFO:root:154.40008536, 0.21917705, 154.39994724, 0.00063667
INFO:root:154.48532815, 0.21405222, 154.48519205, 0.00064000
INFO:root:154.14222893, 0.20904768, 154.14209344, 0.00064333
INFO:root:154.38898678, 0.20403407, 154.38885358, 0.00064667
INFO:root:154.33389633, 0.19863669, 154.33376759, 0.00065000
INFO:root:154.27687625, 0.19436602, 154.27675102, 0.00065333
INFO:root:154.48831747, 0.18954378, 154.48819487, 0.00065667
INFO:root:154.35421358, 0.18516205, 154.35409186, 0.00066000
INFO:root:154.46424673, 0.18072791, 154.46412562, 0.00066333
INFO:root:154.23972952, 0.17651340, 154.23961043, 0.00066667
INFO:root:154.21061312, 0.17203881, 154.21049741, 0.00067000
INFO:root:154.34768764, 0.16801255, 154.34757522, 0.00067333
INFO:root:154.21904781, 0.16375250, 154.21893955, 0.00067667
INFO:root:154.47775137, 0.16038750, 154.47764412, 0.00068000
INFO:root:154.39111512, 0.15657514, 154.39100857, 0.00068333
INFO:root:154.47338323, 0.15289858, 154.47327730, 0.00068667
INFO:root:154.23299763, 0.14909598, 154.23289271, 0.00069000
INFO:root:154.45246344, 0.14549372, 154.45236136, 0.00069333
INFO:root:154.33171257, 0.14219457, 154.33161339, 0.00069667
